districtNumber,districtType,districtName,year,dropRate
0001,03,Minneapolis Public School District,2012,0.0945626477541371
0006,03,South St. Paul Public School Dist.,2012,0.0821917808219178
0011,01,Anoka-Hennepin Public School District,2012,0.0261136712749616
0012,01,Centennial Public School District,2012,0
0013,01,Columbia Heights Public School Dist,2012,0.0508474576271186
0014,01,Fridley Public School District,2012,0.0515463917525773
0015,01,St. Francis Public School District,2012,0
0016,01,Spring Lake Park Public Schools,2012,0.0540540540540541
0022,01,Detroit Lakes Public School Dist.,2012,0.0833333333333333
0031,01,Bemidji Public School District,2012,0.189655172413793
0038,01,Red Lake Public School District,2012,0.25531914893617
0047,01,Sauk Rapids-Rice Public Schools,2012,NA
0077,01,Mankato Public School District,2012,0.112676056338028
0094,01,Cloquet Public School District,2012,0.153846153846154
0110,01,Waconia Public School District,2012,0
0112,01,Eastern Carver County Public School,2012,0.0714285714285714
0115,01,Cass Lake-Bena Public Schools,2012,0.145161290322581
0152,01,Moorhead Public School District,2012,0.22
0162,01,Bagley Public School District,2012,0.125
0166,01,Cook County Public Schools,2012,NA
0181,01,Brainerd Public School District,2012,NA
0191,01,Burnsville Public School District,2012,0.0975609756097561
0192,01,Farmington Public School District,2012,0.0212765957446809
0194,01,Lakeville Public School District,2012,0.0537634408602151
0196,01,Rosemount-Apple Valley-Eagan,2012,0.030690537084399
0197,01,West St. Paul-Mendota Hts.-Eagan,2012,0.0833333333333333
0199,01,Inver Grove Heights Schools,2012,0.0666666666666667
0200,01,Hastings Public School District,2012,0.0833333333333333
0241,01,Albert Lea Public School District,2012,0.0512820512820513
0270,01,Hopkins Public School District,2012,0.0392156862745098
0271,01,Bloomington Public School District,2012,0.0203389830508475
0272,01,Eden Prairie Public School District,2012,0.050561797752809
0273,01,Edina Public School District,2012,0
0276,01,Minnetonka Public School District,2012,0
0279,01,Osseo Public School District,2012,0.0588235294117647
0280,01,Richfield Public School District,2012,0.0797546012269939
0281,01,Robbinsdale Public School District,2012,0.0654911838790932
0282,01,St. Anthony-New Brighton Schools,2012,0
0283,01,St. Louis Park Public School Dist.,2012,0.0396825396825397
0284,01,Wayzata Public School District,2012,0.0192307692307692
0286,01,Brooklyn Center School District,2012,0.106382978723404
0287,06,Intermediate School District 287,2012,0.0528169014084507
0288,06,Southwest Metro Intermediate 288,2012,NA
0294,01,Houston Public School District,2012,0.2
0317,01,Deer River Public School District,2012,0.2
0318,01,Grand Rapids Public School District,2012,0.0512820512820513
0347,01,Willmar Public School District,2012,0.213592233009709
0413,01,Marshall Public School District,2012,0.25
0432,01,Mahnomen Public School District,2012,0.533333333333333
0435,01,Waubun-Ogema-White Earth Public Sch,2012,0.032258064516129
0465,01,Litchfield Public School District,2012,NA
0480,01,Onamia Public School District,2012,0.357142857142857
0492,01,Austin Public School District,2012,0.115384615384615
0508,01,St. Peter Public School District,2012,0
0518,01,Worthington Public School District,2012,0.194690265486726
0535,01,Rochester Public School District,2012,0.0988023952095808
0548,01,Pelican Rapids Public School Dist.,2012,0.117647058823529
0549,01,Perham-Dent Public School District,2012,NA
0564,01,Thief River Falls School District,2012,NA
0593,01,Crookston Public School District,2012,0.136363636363636
0621,01,Mounds View Public School District,2012,0.0307692307692308
0622,01,North St Paul-Maplewood Oakdale Public School District,2012,0.0375
0623,01,Roseville Public School District,2012,0.0670391061452514
0624,01,White Bear Lake School District,2012,0.0405405405405405
0625,01,St. Paul Public School District,2012,0.0804395604395604
0656,01,Faribault Public School District,2012,0.0806451612903226
0659,01,Northfield Public School District,2012,0.0740740740740741
0690,01,Warroad Public School District,2012,NA
0709,01,Duluth Public School District,2012,0.0909090909090909
0717,01,Jordan Public School District,2012,NA
0719,01,Prior Lake-Savage Area Schools,2012,0.157894736842105
0720,01,Shakopee Public School District,2012,0.0746268656716418
0721,01,New Prague Area Schools,2012,NA
0727,01,Big Lake Public School District,2012,NA
0728,01,Elk River Public School District,2012,0.0704225352112676
0740,01,Melrose Public School District,2012,0
0742,01,St. Cloud Public School District,2012,0.0567010309278351
0750,01,Rocori Public School District,2012,NA
0761,01,Owatonna Public School District,2012,0.107142857142857
0829,01,Waseca Public School District,2012,0.117647058823529
0831,01,Forest Lake Public School District,2012,0.0714285714285714
0832,01,Mahtomedi Public School District,2012,NA
0833,01,South Washington County School Dist,2012,0.0207612456747405
0834,01,Stillwater Area Public School Dist.,2012,0
0837,01,Madelia Public School District,2012,0.181818181818182
0840,01,St. James Public School District,2012,0.0344827586206897
0858,01,St. Charles Public School District,2012,NA
0861,01,Winona Area Public School District,2012,0.0714285714285714
0877,01,Buffalo-Hanover-Montrose Public Sch,2012,0.266666666666667
0882,01,Monticello Public School District,2012,0.0588235294117647
0885,01,St. Michael-Albertville School Dist,2012,0.0454545454545455
0911,01,Cambridge-Isanti Public School Dist,2012,NA
0916,06,Northeast Metro 916,2012,0.103448275862069
0917,06,Intermediate School District 917,2012,0.0869565217391304
0991,83,Region 6 And 8-Sw/Wc Service Cooperative,2012,NA
1094,34,Fond Du Lac Ojibwe,2012,0.15
1435,34,Circle Of Life,2012,NA
2142,01,St. Louis County School District,2012,0.130434782608696
2310,01,Sibley East School District,2012,0.1
2365,01,G.f.w. Public School District,2012,0.181818181818182
2397,01,Le Sueur-Henderson School District,2012,NA
2752,01,Fairmont Area School District,2012,NA
2753,01,Long Prairie-Grey Eagle School District,2012,0.3
2859,01,Glencoe-Silver Lake School District,2012,0.125
2890,01,Renville County West School Dist.,2012,NA
2897,01,Redwood Area School District,2012,0.133333333333333
2898,01,Westbrook-Walnut Grove Schools,2012,0.0952380952380952
2905,01,Tri-City United School District,2012,NA
4000,07,City Academy,2012,0
4015,07,Community Of Peace Academy,2012,0.0571428571428571
4017,07,Minnesota Transitions Charter School,2012,0.0218978102189781
4027,07,Higher Ground Academy,2012,0
4031,07,Jennings Community School,2012,0.1875
4036,07,Face To Face Academy,2012,NA
4039,07,High School For Recording Arts,2012,0.120481927710843
4043,07,Math And Science Academy,2012,NA
4057,07,El Colegio Charter School,2012,0.518518518518518
4082,07,Bluesky Charter School,2012,0.384615384615385
4102,07,Minnesota Internship Center,2012,0.252173913043478
4103,07,Hmong College Prep Academy,2012,0.0340909090909091
4104,07,Paladin Career And Technical High School,2012,0
4107,07,Voyageurs Expeditionary,2012,0.125
4111,07,Augsburg Fairview Academy,2012,0.0476190476190476
4112,07,St Paul Conservatory Performing Art,2012,0.133333333333333
4121,07,Ubah Medical Academy Charter School,2012,0.0181818181818182
4126,07,Prairie Seeds Academy,2012,0.0434782608695652
4131,07,Metro Schools Charter,2012,0.0303030303030303
4132,07,Twin Cities Academy,2012,NA
4178,07,Lincoln International School,2012,0.479452054794521
4200,07,Step Academy Charter School,2012,NA
4204,07,Rochester Stem Academy,2012,NA
4237,07,Career Pathways,2012,NA
6018,61,Mn River Valley Education District,2012,0
6049,61,River Bend Education District,2012,0
0000,01,Minneapolis-St. Paul International Airport,2012,NA
0001,01,Aitkin,2012,NA
0002,01,Hill City,2012,NA
0004,01,Mcgregor,2012,NA
0023,01,Frazee-Vergas,2012,NA
0025,01,Pine Point,2012,NA
0032,01,Blackduck,2012,NA
0036,01,Kelliher,2012,NA
0051,01,Foley,2012,NA
0075,01,St. Clair,2012,NA
0081,01,Comfrey,2012,NA
0084,01,Sleepy Eye,2012,NA
0085,01,Springfield,2012,NA
0088,01,New Ulm,2012,NA
0091,01,Barnum,2012,NA
0093,01,Carlton,2012,NA
0095,01,Cromwell-Wright,2012,NA
0097,01,Moose Lake,2012,NA
0099,01,Esko,2012,NA
0100,01,Wrenshall,2012,NA
0108,01,Central,2012,NA
0111,01,Watertown-Mayer,2012,NA
0113,01,Walker-Hackensack-Akeley,2012,NA
0116,01,Pillager,2012,NA
0118,01,Northland Community,2012,NA
0129,01,Montevideo,2012,NA
0138,01,North Branch,2012,NA
0139,01,Rush City,2012,NA
0146,01,Barnesville,2012,NA
0150,01,Hawley,2012,NA
0173,01,Mountain Lake,2012,NA
0177,01,Windom,2012,NA
0182,01,Crosby-Ironton,2012,NA
0186,01,Pequot Lakes,2012,NA
0195,01,Randolph,2012,NA
0203,01,Hayfield,2012,NA
0204,01,Kasson-Mantorville,2012,NA
0206,01,Alexandria,2012,NA
0213,01,Osakis,2012,NA
0227,01,Chatfield,2012,NA
0229,01,Lanesboro,2012,NA
0238,01,Mabel-Canton,2012,NA
0239,01,Rushford-Peterson,2012,NA
0242,01,Alden-Conger,2012,NA
0252,01,Cannon Falls,2012,NA
0253,01,Goodhue,2012,NA
0255,01,Pine Island,2012,NA
0256,01,Red Wing,2012,NA
0261,01,Ashby,2012,NA
0264,01,Herman-Norcross,2012,NA
0323,02,Franconia,2012,NA
0277,01,Westonka,2012,NA
0278,01,Orono,2012,NA
0297,01,Spring Grove,2012,NA
0299,01,Caledonia,2012,NA
0300,01,La Crescent-Hokah,2012,NA
0306,01,Laporte,2012,NA
0308,01,Nevis,2012,NA
0309,01,Park Rapids,2012,NA
0314,01,Braham,2012,NA
0316,01,Greenway,2012,NA
0319,01,Nashwauk-Keewatin,2012,NA
0330,01,Heron Lake-Okabena,2012,NA
0332,01,Mora,2012,NA
0333,01,Ogilvie,2012,NA
0345,01,New London-Spicer,2012,NA
0356,01,Lancaster,2012,NA
0361,01,International Falls,2012,NA
0362,01,Littlefork-Big Falls,2012,NA
0363,01,South Koochingching,2012,NA
0378,01,Dawson-Boyd,2012,NA
0381,01,Lake Superior,2012,NA
0390,01,Lake Of The Woods,2012,NA
0391,01,Cleveland,2012,NA
0402,01,Hendricks,2012,NA
0403,01,Ivanhoe,2012,NA
0404,01,Lake Benton,2012,NA
0414,01,Minneota,2012,NA
0415,01,Lynd,2012,NA
0423,01,Hutchinson,2012,NA
0441,01,Marshall County Central,2012,NA
0447,01,Grygla,2012,NA
0458,01,Truman,2012,NA
0463,01,Eden Valley-Watkins,2012,NA
0466,01,Dassel-Cokato,2012,NA
0473,01,Isle,2012,NA
0477,01,Princeton,2012,NA
0482,01,Little Falls,2012,NA
0484,01,Pierz,2012,NA
0485,01,Royalton,2012,NA
0486,01,Swanville,2012,NA
0487,01,Upsala,2012,NA
0495,01,Grand Meadow,2012,NA
0497,01,Lyle,2012,NA
0499,01,Leroy-Ostrander,2012,NA
0500,01,Southland,2012,NA
0505,01,Fulda,2012,NA
0507,01,Nicollet,2012,NA
0511,01,Adrian,2012,NA
0514,01,Ellsworth,2012,NA
0531,01,Byron,2012,NA
0533,01,Dover-Eyota,2012,NA
0534,01,Stewartville,2012,NA
0542,01,Battle Lake,2012,NA
0544,01,Fergus Falls,2012,NA
0545,01,Henning,2012,NA
0547,01,Parkers Prairie,2012,NA
0550,01,Underwood,2012,NA
0553,01,New York Mills,2012,NA
0561,01,Goodridge,2012,NA
0577,01,Willow River,2012,NA
0578,01,Pine City,2012,NA
0581,01,Edgerton,2012,NA
0592,01,Climax-Shelly,2012,NA
0595,01,East Grand Forks,2012,NA
0599,01,Fertile-Beltrami,2012,NA
0600,01,Fisher,2012,NA
0601,01,Fosston,2012,NA
0630,01,Red Lake Falls,2012,NA
0600,01,Fisher,2012,NA
0635,01,Milroy,2012,NA
0640,01,Wabasso,2012,NA
0671,01,Hills-Beaver Creek,2012,NA
0676,01,Badger,2012,NA
0682,01,Roseau,2012,NA
0695,01,Chisholm,2012,NA
0696,01,Ely,2012,NA
0698,01,Floodwood,2012,NA
0700,01,Hermantown,2012,NA
0701,01,Hibbing,2012,NA
0704,01,Proctor,2012,NA
0706,01,Virginia,2012,NA
0707,01,Nett Lake,2012,NA
0712,01,Mountain Iron-Buhl,2012,NA
0716,01,Belle Plaine,2012,NA
0726,01,Becker,2012,NA
0738,01,Holdingford,2012,NA
0739,01,Kimball,2012,NA
0741,01,Paynesville,2012,NA
0743,01,Sauk Centre,2012,NA
0745,01,Albany,2012,NA
0748,01,Sartell-St. Stephen,2012,NA
0756,01,Blooming Prairie,2012,NA
0763,01,Medford,2012,NA
0768,01,Hancock,2012,NA
0771,01,Chokio-Alberta,2012,NA
0775,01,Kerkhoven-Murdock-Sunburg,2012,NA
0777,01,Benson,2012,NA
0786,01,Bertha-Hewitt,2012,NA
0787,01,Browerville,2012,NA
0801,01,Browns Valley,2012,NA
0803,01,Wheaton Area,2012,NA
0811,01,Wabasha-Kellogg,2012,NA
0813,01,Lake City,2012,NA
0815,02,Prinsburg,2012,NA
0818,01,Verndale,2012,NA
0820,01,Sebeka,2012,NA
0821,01,Menahga,2012,NA
0836,01,Butterfiled-Odin,2012,NA
0846,01,Breckenridge,2012,NA
0850,01,Rothsay,2012,NA
0852,01,Campbell-Tintah,2012,NA
0857,01,Lewiston-Altura,2012,NA
0876,01,Annandale,2012,NA
0879,01,Delano,2012,NA
0881,01,Maple Lake,2012,NA
0883,01,Rockford,2012,NA
0891,01,Canby,2012,NA
0912,01,Milaca,2012,NA
0914,01,Ulen-Hitterdal,2012,NA
2071,01,Lake Crystal-Wellcome Memorial,2012,NA
2125,01,Triton,2012,NA
2134,01,United South Central,2012,NA
2135,01,Maple River,2012,NA
2137,01,Kingsland,2012,NA
2143,01,Waterville-Elysian-Morristown,2012,NA
2144,01,Chisago Lakes,2012,NA
2149,01,Minnewaska,2012,NA
2154,01,Eveleth-Gilbert,2012,NA
2155,01,Wadena-Deer Creek,2012,NA
2159,01,Buffalo Lake-Hector-Stewart,2012,NA
2164,01,Dilworth-Glyndon-Felton,2012,NA
2165,01,Hinkcley-Finlayson,2012,NA
2167,01,Lakeview,2012,NA
2168,01,N.r.h.e.g.,2012,NA
2169,01,Murray County Central,2012,NA
2170,01,Staples-Motley,2012,NA
2171,01,Kittson Central,2012,NA
2172,01,Kenyon-Wanamingo,2012,NA
2174,01,Pine River-Backus,2012,NA
2176,01,Warren-Alvarado-Oslo,2012,NA
2180,01,M.a.c.c.r.a.y,2012,NA
2184,01,Luverne,2012,NA
2190,01,Yellow Medicine East,2012,NA
2198,01,Fillmore Central,2012,NA
2215,01,Norman County East,2012,NA
2311,01,Clearbrook-Gonvick,2012,NA
2342,01,West Central Area,2012,NA
2358,01,Tri-County,2012,NA
2364,01,Belgrade-Brooten-Elrosa,2012,NA
2396,01,A.c.g.c.,2012,NA
2448,01,Martin County West,2012,NA
2527,01,Norman County West,2012,NA
2534,01,Bird Island-Olivia-Lake Lillian,2012,NA
2536,01,Granada-Huntley-East Chain,2012,NA
2580,01,East Central,2012,NA
2609,01,Win-E-Mac,2012,NA
2683,01,Greenbush-Middle River,2012,NA
2687,01,Howard Lake-Waverly-Winsted,2012,NA
2689,01,Pipestone Area,2012,NA
2711,01,Mesabi East,2012,NA
2754,01,Cedar Mountain,2012,NA
2759,01,Eagle Valley,2012,NA
2769,01,Morris Area,2012,NA
2805,01,Zumbrota-Mazeppa,2012,NA
2835,01,Janesville-Waldorf-Pemberton,2012,NA
2853,01,Lac Qui Parle Valley,2012,NA
2854,01,Ada-Borup,2012,NA
2856,01,Stephen-Argyle Central,2012,NA
2860,01,Blue Earth Area,2012,NA
2884,01,Red Rock Central,2012,NA
2886,01,Glenville-Emmons,2012,NA
2888,01,Clinton-Graceville-Beardsley,2012,NA
2889,01,Lake Park-Audubon,2012,NA
2895,01,Jackson Coutny Central,2012,NA
2899,01,Plainview-Elgin-Millville,2012,NA
2902,01,Russell-Tyler-Ruthton,2012,NA
2903,01,Ortonville,2012,NA
2904,01,Tracy Area,2012,NA
2906,01,Red Lake County Central,2012,NA
2908,01,Brandon-Evansville,2012,NA
2907,01,Round Lake-Brewster,2012,NA
0001,03,Minneapolis Public School District,2013,0.104
0006,03,South St. Paul Public School Dist.,2013,0.0416666666666667
0011,01,Anoka-Hennepin Public School District,2013,0.0509259259259259
0012,01,Centennial Public School District,2013,0.0185185185185185
0013,01,Columbia Heights Public School Dist,2013,0.0504201680672269
0014,01,Fridley Public School District,2013,0.0212765957446809
0015,01,St. Francis Public School District,2013,NA
0016,01,Spring Lake Park Public Schools,2013,0.0403225806451613
0022,01,Detroit Lakes Public School Dist.,2013,0.2
0031,01,Bemidji Public School District,2013,0.26530612244898
0038,01,Red Lake Public School District,2013,0.357894736842105
0047,01,Sauk Rapids-Rice Public Schools,2013,NA
0077,01,Mankato Public School District,2013,0.0543478260869565
0094,01,Cloquet Public School District,2013,0.0909090909090909
0110,01,Waconia Public School District,2013,0
0112,01,Eastern Carver County Public School,2013,0.0487804878048781
0115,01,Cass Lake-Bena Public Schools,2013,0.15625
0152,01,Moorhead Public School District,2013,0.196969696969697
0162,01,Bagley Public School District,2013,0.142857142857143
0166,01,Cook County Public Schools,2013,NA
0181,01,Brainerd Public School District,2013,NA
0191,01,Burnsville Public School District,2013,0.1
0192,01,Farmington Public School District,2013,0.0588235294117647
0194,01,Lakeville Public School District,2013,0.0296296296296296
0196,01,Rosemount-Apple Valley-Eagan,2013,0.0346420323325635
0197,01,West St. Paul-Mendota Hts.-Eagan,2013,0.0729166666666667
0199,01,Inver Grove Heights Schools,2013,0.121951219512195
0200,01,Hastings Public School District,2013,0.2
0241,01,Albert Lea Public School District,2013,0.1
0270,01,Hopkins Public School District,2013,0.0259067357512953
0271,01,Bloomington Public School District,2013,0.0203389830508475
0272,01,Eden Prairie Public School District,2013,0.0392156862745098
0273,01,Edina Public School District,2013,0
0276,01,Minnetonka Public School District,2013,0.0169491525423729
0279,01,Osseo Public School District,2013,0.0564399421128799
0280,01,Richfield Public School District,2013,0.063953488372093
0281,01,Robbinsdale Public School District,2013,0.0754716981132075
0282,01,St. Anthony-New Brighton Schools,2013,0.027027027027027
0283,01,St. Louis Park Public School Dist.,2013,0.0917431192660551
0284,01,Wayzata Public School District,2013,0.00571428571428571
0286,01,Brooklyn Center School District,2013,0.08
0287,06,Intermediate School District 287,2013,0.0776255707762557
0288,06,Southwest Metro Intermediate 288,2013,NA
0294,01,Houston Public School District,2013,0.214285714285714
0317,01,Deer River Public School District,2013,0.333333333333333
0318,01,Grand Rapids Public School District,2013,0
0347,01,Willmar Public School District,2013,0.165289256198347
0413,01,Marshall Public School District,2013,0.122448979591837
0432,01,Mahnomen Public School District,2013,0.216216216216216
0435,01,Waubun-Ogema-White Earth Public Sch,2013,0.142857142857143
0465,01,Litchfield Public School District,2013,NA
0480,01,Onamia Public School District,2013,0.272727272727273
0492,01,Austin Public School District,2013,0.112359550561798
0508,01,St. Peter Public School District,2013,NA
0518,01,Worthington Public School District,2013,0.176
0535,01,Rochester Public School District,2013,0.064
0548,01,Pelican Rapids Public School Dist.,2013,0.0555555555555556
0549,01,Perham-Dent Public School District,2013,NA
0564,01,Thief River Falls School District,2013,NA
0593,01,Crookston Public School District,2013,0.277777777777778
0621,01,Mounds View Public School District,2013,0.0404040404040404
0622,01,North St Paul-Maplewood Oakdale Public School District,2013,0.0534591194968553
0623,01,Roseville Public School District,2013,0.0339805825242718
0624,01,White Bear Lake School District,2013,0.0588235294117647
0625,01,St. Paul Public School District,2013,0.0822045773003269
0656,01,Faribault Public School District,2013,0.0533333333333333
0659,01,Northfield Public School District,2013,0.0285714285714286
0690,01,Warroad Public School District,2013,0.307692307692308
0709,01,Duluth Public School District,2013,0.135338345864662
0717,01,Jordan Public School District,2013,NA
0719,01,Prior Lake-Savage Area Schools,2013,0.0697674418604651
0720,01,Shakopee Public School District,2013,0.0918918918918919
0721,01,New Prague Area Schools,2013,NA
0727,01,Big Lake Public School District,2013,NA
0728,01,Elk River Public School District,2013,0.0246913580246914
0740,01,Melrose Public School District,2013,0
0742,01,St. Cloud Public School District,2013,0.0707964601769911
0750,01,Rocori Public School District,2013,NA
0761,01,Owatonna Public School District,2013,0.133333333333333
0829,01,Waseca Public School District,2013,NA
0831,01,Forest Lake Public School District,2013,0.037037037037037
0832,01,Mahtomedi Public School District,2013,NA
0833,01,South Washington County School Dist,2013,0.0262295081967213
0834,01,Stillwater Area Public School Dist.,2013,0.0232558139534884
0837,01,Madelia Public School District,2013,0.117647058823529
0840,01,St. James Public School District,2013,0.0540540540540541
0858,01,St. Charles Public School District,2013,NA
0861,01,Winona Area Public School District,2013,0
0877,01,Buffalo-Hanover-Montrose Public Sch,2013,0
0882,01,Monticello Public School District,2013,NA
0885,01,St. Michael-Albertville School Dist,2013,0.0769230769230769
0911,01,Cambridge-Isanti Public School Dist,2013,0
0916,06,Northeast Metro 916,2013,0.103448275862069
0917,06,Intermediate School District 917,2013,0.10958904109589
0991,83,Region 6 And 8-Sw/Wc Service Cooperative,2013,NA
1094,34,Fond Du Lac Ojibwe,2013,0.176470588235294
1435,34,Circle Of Life,2013,NA
2142,01,St. Louis County School District,2013,0.15
2310,01,Sibley East School District,2013,NA
2365,01,G.f.w. Public School District,2013,NA
2397,01,Le Sueur-Henderson School District,2013,0
2752,01,Fairmont Area School District,2013,NA
2753,01,Long Prairie-Grey Eagle School District,2013,0.136363636363636
2859,01,Glencoe-Silver Lake School District,2013,NA
2890,01,Renville County West School Dist.,2013,0.2
2897,01,Redwood Area School District,2013,0.2
2898,01,Westbrook-Walnut Grove Schools,2013,0
2905,01,Tri-City United School District,2013,0.0909090909090909
4000,07,City Academy,2013,0
4015,07,Community Of Peace Academy,2013,0
4017,07,Minnesota Transitions Charter School,2013,0.0535714285714286
4027,07,Higher Ground Academy,2013,0
4031,07,Jennings Community School,2013,NA
4036,07,Face To Face Academy,2013,NA
4039,07,High School For Recording Arts,2013,0.113924050632911
4043,07,Math And Science Academy,2013,NA
4057,07,El Colegio Charter School,2013,0.535714285714286
4082,07,Bluesky Charter School,2013,0.272727272727273
4102,07,Minnesota Internship Center,2013,0.2
4103,07,Hmong College Prep Academy,2013,0.0405405405405405
4104,07,Paladin Career And Technical High School,2013,0.107142857142857
4107,07,Voyageurs Expeditionary,2013,0.3
4111,07,Augsburg Fairview Academy,2013,0.03125
4112,07,St Paul Conservatory Performing Art,2013,0
4121,07,Ubah Medical Academy Charter School,2013,0.032258064516129
4126,07,Prairie Seeds Academy,2013,0.0566037735849057
4131,07,Metro Schools Charter,2013,0
